Nom,Rareté,Élément,DAMAGE,HEAL,STRIP,CLEANSE,REDUCE_ATB,ATB_UP,RESURRECT,STEAL_STAT,RESET_SKILL_COOLDOWN,SET_SKILL_COOLDOWN_MAX,BUFF_ANTI_BUFF,BUFF_ANTI_HEAL,BUFF_ANTI_SHIELD,BUFF_ATK_DOWN,BUFF_ATK_UP,BUFF_BLIND,BUFF_DEF_DOWN,BUFF_DEF_UP,BUFF_DEFEND,BUFF_DOT,BUFF_IMMUNITY,BUFF_INVINCIBILITY,BUFF_LIFESTEAL,BUFF_PROVOKE,BUFF_REGEN,BUFF_SHIELD,BUFF_SILENCE,BUFF_SLOW,BUFF_SPEED_UP,BUFF_STUN
"Noa, Mur Océanique",common,water,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
"OrRiz, Le Monolithe Abyssal",common,water,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,
"OrRiz, Le Monolithe Enflammé",rare,fire,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,
"OrRiz, Le Monolithe Verdoyant",uncommon,plant,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
"Padmika, Gardienne des Bois",common,plant,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
"Padmika, Gardienne du Canyon",common,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
"Padmika, Gardienne du Gouffre",common,water,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Peohina La Destinée,common,plant,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,
Peohina La Destructrice,uncommon,fire,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Peohina La Submergée,common,water,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,
Quadehar La Lame,uncommon,water,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,
Quadehar Le Brûlant,common,fire,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Quadehar Le Percant,rare,plant,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,
"Raki, L'Eveilleur des Ardeurs",uncommon,fire,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,
"Raki, L'Eveilleur des Echos",common,plant,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,
"Raki, L'Eveilleur des Murmures",common,water,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,
"Raph, Le Seigneur des Flammes",uncommon,fire,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raph, Le Seigneur des Plantes",rare,plant,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raph, Le Seigneur des Torrents",common,water,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sama, La Flamme Eternelle",legendary,fire,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sama, La Fleur Eternelle",epic,plant,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sama, La Vague Eternelle",epic,water,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Senna Flammesœur,common,fire,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Senna Fleursœur,uncommon,plant,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Senna Vaguesœur,uncommon,water,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
"Sioux, L'Oracle Abyssale",common,water,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,
"Sioux, L'Oracle Infernale",uncommon,fire,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sioux, L'Oracle Sylvaine",rare,plant,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,
"Skirrela, Le Cœur de la Forêt",rare,plant,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
"Skirrela, Le Cœur des Océans",common,water,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Skirrela, Le Cœur du Volcan",uncommon,fire,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
"Spiky, Dryade Astrale",uncommon,plant,X,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,
"Spiky, Ondine Astrale",rare,water,X,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,
"Spiky, Sylphe Astrale",common,fire,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
"SuperPG, Le Bastion de Abysses",epic,water,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
"SuperPG, Le Bastion de Braise",epic,fire,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
"SuperPG, Le Bastion Sylvestre",legendary,plant,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"Sushi, La Princesse Aquatique",common,water,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
"Sushi, La Princesse Sylvestre",rare,plant,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
"Sushi, La Princesse Volcanique",uncommon,fire,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
"Terence, Assassin des Brumes",common,water,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,
"Terence, Assassin des Flammes",common,fire,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,
"Terence, Assassin enraciné",common,plant,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,
"Thowas, Le Brasier Sacré",uncommon,fire,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,
"Thowas, Le Chêne Sacré",common,plant,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
"Thowas, Le Typhon Sacré",rare,water,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,
"Tsuna, L'Emissaire de l'Eau",uncommon,water,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
"Tsuna, L'Emissaire de la Nature",uncommon,plant,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
"Tsuna, L'Emissaire du Feu",common,fire,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
VelNewt Archidruide,rare,fire,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
VelNewt Druideau,common,water,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
VelNewt Druidepine,uncommon,plant,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
"Waboku, Le Protecteur du Grimoire Abyssal",rare,water,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
"Waboku, Le Protecteur du Grimoire Ancestral",rare,plant,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waboku, Le Protecteur du Grimoire Ardent",epic,fire,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
"Warza, Le Guerrier Ardent",rare,fire,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
"Warza, Le Guerrier Hydraulique",uncommon,water,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
"Warza, Le Guerrier Sylvain",common,plant,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
"Wendigo, Traqueuse des Forêts",epic,plant,X,,,,,,,,,,,X,X,X,,,,X,,,,,,,,,,,,
"Wendigo, Traqueuse des Profondeurs",rare,water,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,
"Wendigo, Traqueuse du Volcan",rare,fire,X,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,
"Wilco, L'Incendiaire",uncommon,fire,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilco, L’Envahisseur",common,plant,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilco, Le Déchaîneur",common,water,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xeu, La Prêtresse de la Source",uncommon,water,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,
"Xeu, La Prêtresse du Feu",common,fire,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xeu, La Prêtresse Primordiale",rare,plant,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
